ID,Info,en,fi,sv,ma
snack.release.deletedMessage,,Release deleted,,,
snack.migration.createdMessage,,Site data updated,,,
toolbar.search,,Search,,,
toolbar.save,,Save,,,
toolbar.stencil,,Stencil,,,
toolbar.wrench,,Wrench,,,
toolbar.menu,,Menu,,,
toolbar.activities,,Activities,,,
toolbar.help,,Help,Tuki,,
toolbar.services,,Services,,,
toolbar.import,,Import data,Tuo dataa,,
toolbar.tasks,,Tasks,,,
link.type.internal,,Internal,Sisäinen (domainin sisällä),,
link.type.external,,External,Ulkoinen (domainin ulkopuolella),,
link.type.phone,,Phone number,Puhelinnumero,,
link.search.title,,Search links by value,,,
link.value,,Link value,,,
sitelocale.label.select.alreadyDefined,,Cannot add because this locale is already defined,,,
sitelocale.label.table.editLocaleValue,,Edit locale value,,,
locales.label.table.title,,Locale labels,,,
locales.label.title.helper,,At least one language code (locale) + locale label value is required,,,
locales.label.table.value,,Locale label values,,,
locales.enabledMessage,,Enabled: Content for this locale will be displayed on the portal side,,,
locales.disabledMessage,,Disabled: Content for this locale will be hidden from the portal side. Content can still be edited.,,,
transferlist.noItemsSelected,,No items selected,,,
transferlist.search,,Search,,,
transferlist.noSearchResults,,No search results found,,,
explorer.tabs.search,,search,,,
explorer.tabs.articles,,Articles,,,
explorer.tabs.links,,Links,,,
explorer.tabs.services,,services,,,
imports,,Imports,Tuotu sisältö,,
imports.select,,Select a file to import,Valitse tuotava tiedosto,,
imports.import.action,,Import selected,Tuonti valittu,,
article.order,,Article order number,,,
article.order.view,,View current Article ordering hierarchy,,,
article.select,,Select Articles,,,
article.links.selectedlinks,,Selected links,,,
article.composer.title,,Create new Article,Luo uusi artikkeli,,
article.composer.parent,,Parent Article,Emoartikkeli,,
article.parent.helper,,"If a Parent article is selected, this article will live inside this parent, like a file inside a folder does.",,,
article.composer.parent.unselected,,No parent article,Ei valittu,,
article.create,,Create article,Luo artikkeli,,
article.name,,Article name,Artikkelin nimi,,
article.delete.title,,Delete article,Poista tämä artikkeli pysyvästi?,,
article.delete.description,,Deleting this article will remove it and its associated pages globally from the application.,Artikkelin poistaminen poistaa sen ja siihen yhdistetyt sivut koko sovelluksesta.,,
article.edit.title,,Edit article,Muokkaa artikkelia,,
article.edit.parent,,Parent article,Emoartikkeli,,
article.edit.orderhelper,,Three-digit number for ordering purposes,Kolmenumeroinen luku järjestelyyn,,
article.devmode.helper,,"If Development mode is active, this article will only appear in the development environment for testing. It will not be included in production releases.",,,
article.devmode,,Development mode,,,
articleservices,,Article services: {name},,,
articlelinks,,Article links: {name},,,
article.composer.orderhelper,,"The lower the number, the higher up this article will appear in your portal UI Topic Menu.  Example: 000 will be the first Topic menu item, while 999 will be the last.",Numero valikon järjestelyyn,,
allarticles,,Select all articles,,,
allarticles.individual,,De-select all articles,,,
add.allarticles.link.help,,This link will be added to (or removed from) all articles. Any previous link-article associations will be lost once this change has been applied,,,
add.allarticles.service.help,,This service will be added to (or removed from) all articles. Any previous service-article associations will be lost once this change has been applied.,,,
button.create,,Create,Luo,,
button.add,,Add,Lisää,,
button.disable,,Continue and disable,Jatka ja poista käytöstä,,
button.enable,,Continue and enable,Jatka ja salli käyttö,,
button.remove,,Continue and remove,Jatka ja irrota,,
button.apply,,Apply changes,Salli muutokset ja jatka,,
button.releasegraph,,Graph,,,
button.view.all.locales,,View locales,Näytä kaikki sijainnit,,
button.view.all.releases,,View releases,Näytä kaikki julkaisut,,
button.view.all.templates,,View templates,,,
